ememy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
7,94.0,0,94.0,119,3,66,18,84,119,0.84
7,94.0,0,94.0,119,6,132,36,168,238,0.42
7,94.0,0,94.0,119,9,198,54,252,357,0.28
7,94.0,0,94.0,119,12,264,72,336,476,0.21
7,94.0,0,94.0,119,15,330,90,420,595,0.17
7,88.0,0,88.0,137,0,28,133,130,137,0.73
7,88.0,0,88.0,137,0,56,266,260,274,0.36
7,88.0,0,88.0,137,0,84,399,390,411,0.24
7,88.0,0,88.0,137,0,112,532,520,548,0.18
7,88.0,0,88.0,137,0,140,665,650,685,0.15
7,0.0,100,-100.0,15,14,15,15,0,0,0.0
7,0.0,100,-100.0,15,28,30,30,0,0,0.0
7,0.0,100,-100.0,15,42,45,45,0,0,0.0
7,0.0,100,-100.0,15,56,60,60,0,0,0.0
7,0.0,100,-100.0,15,70,75,75,0,0,0.0
